SongNumber,SongID,AlbumID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,Energy,KeySignature,KeySignatureConfidence,SongHotttnesss,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year
38,b'SORGIYZ12AAF3B3528',617497,,b'',,b'The Killers',0.0,213.96853,0.0,11,0.614,0.5237963474289389,86.958,4,0.343,b'A White Demon Love Song (Soundtrack Album Version)',0
39,b'SOUKHSU12AB0185CB0',357894,42.33168,b'Detroit MI',-83.04792,b'Jackie Wilson',0.0,128.93995,0.0,10,0.283,nan,136.749,1,0.0,b"It's So Fine",1958
40,b'SOAUQNX12AB017B7CF',435899,42.88544,b'Buffalo New York',-78.87846,b'Every Time I Die',0.0,215.43138,0.0,10,0.208,0.5297306072289015,187.401,4,0.025,b'Your Touch Versus Death',2000
41,b'SOGPIOY12A58A7F7AD',132684,,b'California',,b'Unwritten Law',0.0,199.67955,0.0,11,0.631,0.0,80.472,4,0.0,b'Save Me (Rolling Stone Original Version)',0
42,b'SOVASWH12A8C13E3CE',161800,,b'New Orleans LA',,b'Roy Brown',0.0,227.082,0.0,0,0.602,0.5033812362063191,157.087,4,0.0,b'Good Rocking Tonight',0
43,b'SOPAHBW12A6D4F7638',129349,36.71832,b'MalagaSpanija',-4.42016,b'Fran Perea',0.0,173.08689,0.0,4,0.215,0.3240586992138468,90.645,1,0.868,b'Entonces',2005
44,b'SOFQVFL12A6701F8DC',5278,40.71455,b'New York NY',-74.00712,b'Reach 454',0.0,237.19138,0.0,7,0.012,nan,95.953,4,0.762,b'6 Yrs (Album Version )',2003
45,b'SOGRTXS12AB017CCFC',543440,,b'',,b'Pedro Luis e a Parede',0.0,229.45914,0.0,0,0.707,nan,159.134,4,0.62,b'Soul',1997
46,b'SONEGFT12A8C142567',539435,,b'Medicine Lodge KS',,b'Martina McBride',0.0,198.42567,0.0,4,0.002,0.21508031850922793,175.954,7,0.0,b'Heart Trouble',1993
47,b'SOQXARY12A8C13F68C',174291,,b'',,b'Pery Ribeiro',0.0,195.68281,0.0,2,1.0,nan,87.61,1,0.86,b'Piano E Viola',0
48,b'SOGWPDK12A81C2242F',131510,,b'',,b'Busdriver',0.0,240.71791,0.0,8,0.901,0.5596466099318452,123.998,5,0.492,b'Unemployed Black Astronaut',2005
49,b'SOCCBOH12A8C13E947',170819,,b'',,b'Rockit',0.0,217.10322,0.0,11,0.551,nan,103.015,4,0.895,b'Some Kind of Record',0
50,b'SOICYHD12AB018A5B8',590999,,b'',,b'20/20',0.0,221.72689,0.0,0,0.735,nan,119.446,4,0.904,b'I Never Did No Hitler',0
51,b'SOWGFDH12AB017B2F5',333532,32.67828,b'Georgia',-83.22295,b'Billy Pilgrim',0.0,220.26404,0.0,2,0.795,nan,137.296,4,0.0,b'Caroline (LP Version)',1995
52,b'SOLYAED12AB01885EC',715037,-6.17144,b'jakarta',106.82782,b'Bonita',0.0,217.88689,0.0,11,0.449,nan,104.035,4,0.999,b'Dead End Sign',0
53,b'SOUWZWV12AB0181ACF',491917,,b'NY - New York City',,b'Kris Gruen',0.0,185.28608,0.0,10,0.715,0.0,105.217,4,1.0,b'Prayer Walk',0
54,b'SOFAJOM12A8C141EE4',610672,,b'',,b'4 Skins',0.0,250.48771,0.0,2,0.663,nan,82.98,1,0.0,b'New War',0
55,b'SOTEDAD12A8AE4735F',2004,51.27562,b'Sevenoaks United Kingdom',0.17898,b'Orbital',0.0,478.45832,0.0,9,0.485,0.6851376281796413,87.982,4,1.0,b'Forever',1994
56,b'SOBBWJS12AB0182522',542714,52.88356,b'UK - England - South East',-1.97406,b'Betika_ Daouda',0.0,286.77179,0.0,7,0.619,nan,179.999,4,0.807,b"C'est pas ma faute",0
57,b'SOWYWXM12AB018C9E9',573679,18.01571,b'Kingston Jamaica',-76.79731,b'John Holt',0.0,209.29261,0.0,0,0.657,0.0,171.597,4,0.766,b'Only Just Begun',0
58,b'SOKDPUY12AB0184594',759481,34.60515,b'Lawton OK',-98.38983,b'Bryan White',0.0,245.81179,0.0,8,0.626,0.3347065490692206,151.528,4,0.899,b'God Gave Me You (Single/LP Version)',1999
59,b'SOGWIQR12A8C144C22',428130,,b'',,b'Mungo Jerry',0.0,193.90649,0.0,7,0.005,0.42744657148843085,88.58,4,0.0,b"It's A Secret",1995
60,b'SOQTOZK12A6D4F95AD',40248,,b'',,b'Moraes Moreira',0.0,194.87302,0.0,2,0.09,nan,128.544,4,0.147,b'Felicidade',0
61,b'SOQMALF12AAF3B4144',432951,,b'',,b'Hysterie',0.0,379.402,0.0,11,0.249,0.319565986882865,131.986,4,0.0,b'Be my Lover',0
62,b'SODDBHT12AB0186B6E',569882,,b'',,b'Eiffel 65',0.0,390.00771,0.0,6,0.001,nan,130.039,4,0.638,b'Blue [Da Ba Dee] [Gabry Ponte vs. HiFi Blueprint Remix]',0
63,b'SOPUCKL12A6D4FB5A6',59794,32.77942,b'Goodwill LA',-91.56123,b'Tony Joe White',0.0,329.35138,0.0,2,0.078,0.0,139.905,4,0.289,b'The Coloness Of The Chain',1993
64,b'SOHKLFL12A6D4FA150',123782,51.05563,b'Ghent Belgium',3.72856,b'Soulwax',0.0,201.24689,0.0,0,0.536,0.5040343408054411,111.223,5,0.951,b'Kill Your Darlings',1996
65,b'SOJTAWE12A6D4F8EAC',51317,34.05349,b'Los Angeles California United States',-118.24532,b'The Doors',0.0,298.39628,0.0,0,0.214,nan,66.155,1,0.461,b'The Trial_ Were You Scared? [The Lost Interview Tapes - Volume Two] (LP Version)',0
66,b'SOERGHR12AAF3B2A52',384191,38.62774,b'St. Louis MO',-90.19951,b'Jimmy McCracklin',0.0,147.64363,0.0,2,0.397,0.2623089972119452,101.241,4,0.819,b'Gotta Cut Out',2002
67,b'SOLXIWW12AC468805A',782395,,b'',,b'Jaco & Mixxmaster',0.0,441.99138,0.0,1,1.0,nan,136.981,4,0.0,b'Feeling',2008
68,b'SOTNLYM12AB0181695',484445,,b'',,b'Marisela',0.0,221.20444,0.0,1,0.736,0.0,134.192,4,0.532,b'La Otra',0
69,b'SOWLJJD12AF729D3F5',308324,,b'',,b'Phantom Planet',0.0,120.65914,0.0,6,0.554,nan,105.902,4,0.878,b'Here I Am',2004
70,b'SOKPTHW12AB018AB51',710826,,b'San Francisco CA',,b'Set Your Goals',0.0,153.23383,0.0,8,0.683,0.6592305770454684,131.639,1,0.0,b'This Very Moment',2006
71,b'SOPZACG12A6D4F9271',54944,54.31392,b'Great Britain / UK',-2.23218,b'Marilyn Horne',0.0,282.14812,0.0,10,0.44,nan,47.97,1,0.0,b'Rinaldo : Act 1 "Cor ingrato_ ti rammembri" [Rinaldo]',0
72,b'SOPMXHY12A6D4F7DBC',27412,,b'Cross Lane WV',,b'Kathy Mattea',0.0,124.83873,0.0,9,0.019,0.0,79.091,7,0.911,b'Isle Of Inishmore - Part 1 (Air)',2002
73,b'SOCLHLD12A6701E65B',14905,34.7519,b'Blythesville AR',-92.13055,b'Dee Clark',0.0,170.65751,0.0,7,0.581,0.0,148.341,1,0.0,b'Leroy Bown',0
74,b'SOOYMFA12AB017E3C1',549514,,b'',,b'Leon Lai',0.0,210.9122,0.0,9,0.422,nan,86.005,4,0.804,b'Yi Ba Xiang Shui Yin',0
75,b'SOVGYIW12AB018186F',343267,,b'Detroit MI',,b'The Winans',0.0,288.26077,0.0,10,0.625,0.0,106.515,4,0.848,b'Breaking Of Day (Album Version)',0
76,b'SONJNMA12A6701DFDE',14580,,b'Galveston TX',,b'Jack Johnson',0.0,207.09832,0.0,11,0.559,nan,147.602,4,0.0,b'Inaudible Melodies',2000
77,b'SOOTJIQ12A8C1368B9',149618,,b'',,b'Catupecu Machu',0.0,266.1873,0.0,1,0.717,0.5722831896152288,126.992,4,0.99,b'A Veces Vuelvo',2004
78,b'SOVTIJE12AB017F8D9',620815,,b'',,b'Streetwize',0.0,302.13179,0.0,10,0.51,0.0,101.311,4,1.0,b"U Don't Have To Call",0
79,b'SOIPZVD12AB0186501',673446,,b'',,b'Bingo Players',0.0,171.49342,0.0,1,0.44,nan,128.013,4,0.525,b'Get Up (Diplo Mix)',0
80,b'SOSINEG12A58A7D528',709510,,b'Vrsac',,b'Hoods',0.0,175.3073,0.0,6,0.348,0.6461512337882942,60.308,4,0.471,b'Heartless',0
81,b'SOEYALK12A8C143123',610227,40.86034,b'Passaic NJ',-74.12374,b'The Shirelles',0.0,132.33587,0.0,5,0.696,nan,116.764,4,0.765,b'Foolish Little Girl',1963
82,b'SORWORW12A6D4FBBE2',63206,,b'',,b'Jose Luis Perales',0.0,191.21587,0.0,6,0.372,0.0,136.478,4,0.0,b'No Soy Uno M\xc3\xa1s',2008
83,b'SOISJLZ12AC3DF6DE7',603118,,b'',,b'Joe Grushecky',0.0,294.19057,0.0,0,0.421,nan,136.326,1,0.0,b'Firewater',0
84,b'SOFZGIT12A58A7CD2D',43642,,b'',,b'Jeff And Sheri Easter',0.0,183.19628,0.0,11,0.799,nan,119.983,4,0.33,b'Loving By Heart',0
85,b'SONWLUL12A8C13AEEE',265380,40.14323,b'New Jersey',-74.72671,b'Angelo Badalamenti / Keira Knightley',0.0,63.29424,0.0,1,0.459,nan,123.797,1,0.0,b'Overture/Blue Tahitian Moon',0
86,b'SOURXDF12AB0180C6C',507337,,b' ',,b'Carlos Vives',0.0,112.90077,0.0,9,0.19,0.3277366831778408,132.358,1,0.0,b'Cancion De Amor Eterno',2000
87,b'SOYTIWN12A6D4FBA37',555842,,b'Spanish Harlem New York City NY',,b'Joe Bataan',0.0,311.19628,0.0,10,0.613,0.42744657148843085,87.467,1,0.0,b'Ernestine',2005
88,b'SOMDWZC12A8C13A065',155721,,b'',,b'Bill & Gloria Gaither',0.0,194.82077,0.0,1,0.365,0.29607822800326455,42.797,4,0.0,b"I'll Meet You By The River (Southern Convention Songs Version)",0
89,b'SOHUHHZ12AAA15E72E',321338,,b'',,b'Djelimady Tounkara',0.0,487.33995,0.0,0,0.654,0.22914410371660274,145.93,4,0.652,b'Sarank\xc3\xa9gni',2005
90,b'SORHGGM12AB01878D5',774717,,b'',,b'Juan Diego Fl\xc3\xb3rez / Orquesta Sinf\xc3\xb3nica de Madrid / Jes\xc3\xbas L\xc3\xb3pez-Cobos',0.0,87.32689,0.0,7,0.595,nan,36.624,1,0.0,b'Eurydice! ombre ch\xc3\xa8re!',0
91,b'SOELVHE12A8C135E02',146667,33.95319,b'Marietta GA',-84.54588,b'Moros Eros',0.0,224.41751,0.0,2,0.144,0.4733465411087876,90.291,1,1.0,b'Safety Net (Album Version)',2007
92,b'SOESSPX12AB01807A0',540823,,b'',,b'Abrar - Ul - Haq',0.0,301.16526,0.0,11,0.456,nan,89.077,4,0.421,b'Hello Hello',0
93,b'SOCHJTF12AC4686775',599979,43.04181,b'Milwaukee WI',-87.90684,b'Speech',0.0,160.93995,0.0,1,0.0,0.0,73.11,5,0.814,b'A Talk With Dad',2003
94,b'SORLVXI12A8AE45E37',135645,,b'Paddington London England',,b'Seal',0.0,304.14322,0.0,5,0.545,0.3522322250053423,133.193,5,0.806,b'Prayer For The Dying (Live In Paris)',2005
95,b'SOCIALB12AB01811A2',557862,,b'',,b'Scott Glasgow',0.0,154.5922,0.0,1,0.878,nan,16.258,1,0.0,b'Hunted',0
96,b'SOJPQLG12A8C140660',437093,,b'CANADA - Ontario',,b'Vivian',0.0,283.79383,0.0,7,0.509,0.21508031850922793,145.021,4,0.0,b'Another Last Shot (Album Version)',0
97,b'SOJEECD12AB018BDA5',769560,32.51461,b'Shreveport LA',-93.74727,b'Faron Young',0.0,168.72444,0.0,2,0.277,0.0,74.894,4,0.763,b"I'll Be Yours",1994
98,b'SOGRSPK12A8A9D88E0',277526,,b'',,b'Kurt Tepperwein',0.0,1203.53914,0.0,4,0.716,0.0,113.487,4,0.416,b'Subliminal ohne Naturgeraeusche',0
99,b'SOAQMCT12A8C1350DE',313025,40.71455,b'New York NY',-74.00712,b'Maria Callas/Eugenio Fernandi/Elisabeth Schwarzkopf/Giuseppe Nessi/Nicola Zaccaria/Mario Borriello/Renato Ercolani/Piero de Palma/Giulio Mauri/Elisabetta Fusco/Pinuccia Perotti/Coro del Teatro alla Scala_ Milano/Orchestra del Teatro alla Scala_ Milano/Tul',0.0,172.90404,0.0,2,0.344,nan,109.721,4,0.707,b'Turandot (2008 Digital Remaster)_ Act III - Scene I: Nessum dorma!',0
100,b'SOBNTOJ12A8C133435',285172,,b'',,b'Harry Gregson-Williams',0.0,95.9473,0.0,10,0.143,nan,145.971,3,0.421,b'Whip Fight',2003
101,b'SOSKXWY12A8C135248',288788,,b'',,b'Jean Corti',0.0,183.19628,0.0,0,0.822,nan,163.567,1,0.192,b"C'Etait Bien",2001
102,b'SOJKSPB12A67AD93AE',584987,,b'',,b'Pierre Perret',0.0,277.21098,0.0,10,0.506,nan,111.682,3,0.88,b'Marcel',1994
103,b'SOLJMGD12A58A76C3A',620827,53.41961,b'Ireland',-8.24055,b'Mary Black & General Humbert',0.0,303.75138,0.0,7,0.791,0.37598430150044215,99.237,3,0.849,b'Isle of St. Helena',1984
104,b'SOICMNM12A6D4F89C3',356091,,b'New York NY [Queens]',,b'DJ Clue / Fabolous Sport',0.0,242.75546,0.0,11,0.411,nan,193.919,4,1.0,b'If They Want It',0
105,b'SOVXKMW12A8C1414C1',307550,40.8079,b'Harlem New York NY',-73.9454,b'Kool Moe Dee',0.0,397.5571,0.0,6,0.042,nan,107.022,4,1.0,b'Death Blow',1991
106,b'SOULPEW12A8C13E4F7',222538,,b'Bay City MI',,b'Madonna',0.0,277.99465,0.0,10,0.334,nan,127.999,4,0.0,b'4 Minutes [Featuring Justin Timberlake And Timbaland] [Junkie XL Remix Edit]',2008
107,b'SOYSZGR12A8C14015C',748094,,b'POLAND',,b'Behemoth',0.0,188.08118,0.0,5,0.073,0.2707759989463275,139.115,4,0.0,b'Cursed Angel Of Doom (Previously Unreleased&Re-Recorded Track)',0
108,b'SOEOYBN12A6D4F9E2C',31407,38.41982,b'Huntington WV',-82.44537,b'Bobaflex',0.0,147.43465,0.0,10,0.005,0.6606805977259118,93.033,4,0.632,b'Turn The Heat Up',2005
109,b'SOAPDWC12AC468BB3B',783787,51.50632,b'London United Kingdom',-0.12714,b'Benga',0.0,277.55057,0.0,11,0.015,0.583748834895779,87.468,5,1.0,b'The Future',2006
110,b'SOPIFJT12A81C221AC',389249,,b'',,b'Bob Marley & The Wailers',0.0,320.15628,0.0,4,0.33,nan,148.684,4,0.253,b'Three Little Birds',2007
111,b'SOEKBBG12AB017E5D7',500031,,b'Tennessee',,b'Charlie Louvin',0.0,138.55302,0.0,6,0.058,0.42664658487057977,130.231,4,0.0,b'See The Big Man Cry',0
112,b'SOKJMKB12AB0189C12',470183,,b'',,b'Juan Farcik',0.0,295.02649,0.0,9,0.097,nan,124.969,7,0.941,b'Sunday Cream',0
113,b'SOPZHFK12A8C135493',198434,,b'Galveston TX',,b'Jack Johnson',0.0,236.19873,0.0,0,1.0,0.7378503319728218,241.818,4,0.359,b'Adrift',2008
114,b'SOCJGSX12AAF3B4DA9',384165,37.82245,b'Kentucky',-85.69091,b'Markus',0.0,176.97914,0.0,5,0.513,nan,130.023,4,0.334,b'Du machst mich irgendwann verr\xc3\xbcckt',0
115,b'SOSIANM12AB018CC80',667675,,b'Atlanta GA',,b'Usher Featuring The Nu Beginning',0.0,338.75546,0.0,5,0.167,nan,118.099,4,1.0,b'Only Human',2004
116,b'SOSAEZB12AB018DADE',667641,38.68193,b'Dry Ridge KY',-84.59431,b'Skeeter Davis',0.0,146.28526,0.0,0,1.0,nan,102.117,3,1.0,b'My Last Date (With You)',1988
117,b'SOAMZKG12A8C13797C',154491,40.71455,b'New York NY',-74.00712,b'Maria Callas/Gianni Raimondi/Gabriella Carturan/Plinio Clabassi/Nicola Rossi-Lemeni/Coro del Teatro alla Scala_ Milano/Noberto Mola/Orchestra del Teatro alla Scala_ Milano/Gianandrea Gavazzeni',0.0,102.68689,0.0,2,0.688,nan,111.643,4,0.4,b'Anna Bolena (1997 Digital Remaster): Alcun potria ascoltarti',0
118,b'SOFGAJF12A8C141DA3',7106,43.64856,b'Toronto Ontario Canada',-79.38533,b'Blue Rodeo',0.0,280.65914,0.0,7,0.345,0.4944895175021134,126.1,4,0.415,b'Fools Like You',1992
119,b'SOSJRCR12A58A7BEC0',514720,60.3907,b'Bergen Norway',5.33275,b'La 5A Estacion',0.0,131.3171,0.0,7,0.829,0.2707759989463275,100.266,4,1.0,b'Contigo Si',0
120,b'SONOKWX12AB0185FDC',582256,,b'',,b'Capleton',0.0,86.88281,0.0,7,0.442,nan,161.737,4,1.0,b'Raggy Road',1997
121,b'SOHWRNV12A58A78E24',509775,,b'',,b'Mar\xc3\xada Elena Walsh',0.0,156.83873,0.0,7,0.027,0.0,104.272,4,0.105,b'La Calle Del Gato Que Pesca',0
122,b'SOIQVDP12A8C13510A',285639,32.33112,b'Edwards MS',-90.60536,b'Blind Willie Johnson',0.0,187.16689,0.0,1,0.0,nan,80.16,4,0.018,b"You'll Need Somebody On Your Bond",1991
123,b'SOURKHT12A58A7F3E6',141505,41.51526,b'East Moline IL',-90.43987,b'Jude Cole',0.0,327.26159,0.0,10,0.6,0.44223459546857985,159.673,4,0.233,b'Tell The Truth (Album Version)',0
124,b'SOIVFAV12AB0183D33',632755,53.34376,b'Dublin Ireland',-6.24953,b'Primordial',0.0,484.10077,0.0,8,0.507,nan,186.12,3,0.599,b"Autumn's Ablaze (Live)",1998
125,b'SOKEGNC12A6D4FB54C',64174,,b'United States',,b'Christophe Beck',0.0,91.21914,0.0,8,0.053,0.21204540548371908,131.487,4,0.016,b'Main Title',2002
126,b'SOFKMMF12AB018CE39',815644,,b'New York',,b'Solomon',0.0,834.24608,0.0,0,0.221,nan,199.792,7,0.667,b'Concerto In A Minor_ Op 54: First Movement - Allegro Affettuoso - Andante Espressivo - Tempo I - Cadenza - Allegro Molto',0
127,b'SOJWSCQ12A6D4FBAB9',228476,,b'',,b'Mike Vax',0.0,154.06975,0.0,7,0.488,nan,107.411,4,0.672,b'Trumpet Blues And Cantabile',2001
128,b'SOCMYLF12A67020A4D',13919,,b'Los Angeles CA',,b'Black Eyed Peas',0.0,196.362,0.0,7,0.521,nan,204.304,4,0.505,b'Tell Your Momma Come',2000
129,b'SOCFNPC12AB017CE1B',627509,35.14968,b'Memphis TN',-90.04892,b'Anita Kerr',0.0,156.52526,0.0,3,0.717,nan,94.771,3,0.768,b'Over The Rainbow',0
130,b'SODSFSH12A8C13EDFE',223469,,b'',,b'Adrenalin O.D.',0.0,142.65424,0.0,0,0.517,0.0,106.002,4,0.396,b'Anarchy in the UK (Sex Pistols) (Bonus Track)',1986
131,b'SOORJCV12A8C144A4E',375397,,b'',,b'Hins Cheung',0.0,238.21016,0.0,0,0.709,nan,149.765,4,0.862,b'Xue Hua Chao',2008
132,b'SOQLWVI12A6D4F465F',25971,52.94922,b'Nottingham England',-1.14392,b'Ten Years After',0.0,145.00526,0.0,11,0.707,0.2707759989463275,106.145,1,0.0,b'Year 3_000 Blues (2002 Digital Remaster)',1970
133,b'SOCFKSK12A8C140704',610753,,b'',,b'4 Skins',0.0,126.14485,0.0,9,0.544,nan,90.787,4,0.0,b'Chaos (Live - Bridgehouse Tapes)',0
134,b'SOVPTBI12AB01879CF',556971,,b'Medicine Lodge KS',,b'Martina McBride',0.0,181.86404,0.0,11,0.405,nan,40.384,1,0.0,b"Anything's Better Than Feelin' The Blues",1999
135,b'SOOZDSM12A8C13D39D',307070,39.37413,b'Volos Greece',22.95775,b'Vangelis',0.0,575.58159,0.0,1,0.827,nan,149.423,3,0.338,b'3 + 3',1977
136,b'SOGOVUN12A8AE46B43',289148,,b'Glasgow Scotland',,b'Teenage Fanclub',0.0,274.70322,0.0,6,0.577,0.6052462289703278,116.239,4,0.408,b"I Don't Know",1991
137,b'SONAWWG12A8C133380',287223,,b'',,b'Tha Liks',0.0,108.2771,0.0,0,0.647,nan,160.267,3,0.858,b'40 OZ Quartet Part I',2001
138,b'SOKPWEP12A8C137A4B',98397,45.4215,b'Ottawa ON Canada',-75.69189,b'Jim Bryson',0.0,276.21832,0.0,5,0.468,0.22914410371660274,97.431,4,0.0,b'Fleetwood',0
